epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11092.7,1.64842,0.74602,1.03494,0.97489,0.96999,0.98568,0.47876,1.76605,0.65751,1.08759,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11432.1,1.64086,0.74055,1.03189,0.97521,0.96879,0.98537,0.47915,1.76271,0.65578,1.08597,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11775.9,1.62538,0.72979,1.02927,0.97455,0.96879,0.98559,0.48011,1.76144,0.65248,1.08568,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,12115.7,1.61715,0.7213,1.02528,0.97585,0.97014,0.98589,0.47975,1.7611,0.65059,1.086,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,12455.3,1.60908,0.71324,1.0228,0.97697,0.96999,0.98673,0.47652,1.75899,0.64906,1.08536,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12794.3,1.59008,0.70677,1.0174,0.97713,0.96999,0.98616,0.47696,1.7575,0.64745,1.08479,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13134,1.58691,0.69826,1.01705,0.9761,0.96879,0.98616,0.47898,1.75646,0.64558,1.08401,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,13473.8,1.56506,0.68845,1.01274,0.97647,0.96879,0.98606,0.47825,1.75528,0.64374,1.08345,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,13813.6,1.55913,0.68096,1.01032,0.97708,0.96759,0.98624,0.47849,1.75406,0.64209,1.08307,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,14202.5,1.51531,0.62392,1.04057,0.97652,0.96759,0.98626,0.47951,1.754,0.63978,1.08295,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,14540.6,1.49348,0.60501,1.03459,0.97772,0.96879,0.98656,0.4814,1.75418,0.63784,1.08322,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,14879.3,1.46596,0.59521,1.02452,0.97801,0.96879,0.98664,0.48063,1.75473,0.63515,1.08329,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,15218.4,1.45519,0.58675,1.02449,0.97775,0.96999,0.98665,0.48046,1.7541,0.63275,1.08302,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,15557.2,1.43448,0.57486,1.01749,0.97708,0.97256,0.98657,0.48293,1.75419,0.63193,1.08323,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,15895.2,1.41559,0.56708,1.01095,0.9758,0.97239,0.9861,0.48303,1.75327,0.62955,1.08279,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,16232.9,1.39517,0.55747,1.00501,0.97576,0.97239,0.9863,0.4826,1.75444,0.6275,1.08319,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,16570.9,1.38376,0.5498,1.00218,0.97577,0.97239,0.98605,0.48146,1.75493,0.6264,1.08369,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,16909.6,1.37167,0.54264,0.99881,0.9758,0.97239,0.98622,0.48162,1.75456,0.62377,1.08338,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,17247.5,1.35507,0.53549,0.99308,0.97696,0.97239,0.98655,0.48197,1.75413,0.62203,1.08346,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
